,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
280,"O Earth! why keepest you not as well his spirit, To give his form life? ",nature,preservation,religion,appearance,life,,
281,"travailed in the great shower of your gifts, And sweetly felt it.",geography,nature,economics,sensations,,,
282,"Fly, damned baseness, To him that worships thee!",animals,religion,character_traits__nature,economics,,,
283,[who resist] perish constant fools.,resistance,death,mental_faculty__state__entities,,,,
284,"we are the Cities securitie, Ile giue you your charge, and then like Courtiers every man spye out: ",urban,danger__safety,military,politics,discovering,,
285,Grin'st hellish Anticke?,facial_expressions,religion,joviality,,,,
286,"But as Geometricians Teach that no lines, nor superficies, Doe move themselves, but still accompany The motions of their bodies; so poor wives Must not pursue, nor have their own affections",education,spatial,movement,anatomy,matrimony,courting,emotions
287,women are the rarest workes in nature.,women,art,nature,,,,
288,"When they [Castor and Pollux] together shine the welkin clears, and gentle gales beare fourth the winged sails",myth,astrology,light,nature,assistance,animals,nautical
289,"Ime an Asse for it [believing you],",animals,mental_faculty__state__entities,,,,,
290,[the savage bore] whets his tuskes with wrathfull maiesty.,animals,weapons__armor,anatomy,emotions,social_status,,
291,I wore my life To spend upon his haters.,consumption,life,economics,emotions,,,
292,"IÂ rue, and would have kept this  as my crown.",emotions,preservation,politics,,,,
293,unnatural deeds Do breed unnatural troubles:,nature,physical_activities,reproduction,suffering,,,
294,nor in humane state Till they [men] embrace within their wiues two breasts All Pelion and Cythaeron with their beasts.,politics,men,affection,matrimony,anatomy,geography,animals
295,Should I Save them that would in spight of heaven be ruined?,assistance,religion,resistance,destruction,,,
296,baldnesse will cure your greefe,character_traits__nature,medicine,emotions,,,,
297,"a few colde words first, ",temperature,language,,,,,
298,more sins than he hath tears to weep them?,quantities,religion,anatomy,emotions,,,
299,you canst not live on this side of the world,life,spatial,nature,,,,
300,"these hands must gore, That worthy hart, for whom they fought before.",anatomy,violence,character_traits__nature,,,,
301,he has killed a brother and a father.,violence,familial,,,,,
302,"as a stranger to my heart and me Hold thee, from this, for ever.",social_relations,anatomy,mental_faculty__state__entities,time,,,
303,"the color of this hair More bright, and not of such aÂ SpanishÂ dye",colors,anatomy,ethnicity__nationality,clothes,,,
304,"If you have woo'd and won, then Brother wear him.",courting,familial,clothes,,,,
305,"my free drift Halts not particularly, but moves itself In a wide sea of wax",language,hindrance,movement,spatial,nature,materials,
306,"What plagues may serve to expiate this act [murder], The roling stone or everturning wheel,",medicine,judiciary,violence,movement,materials,time,
307,we must obey the time.,commands,time,,,,,
308,"knights and squires; Men so disorder'd, so debosh'd and bold, That this our court, infected with their manners, Shows like a riotous inn",social_status,ethics,character_traits__nature,politics,medicine,etiquette,joviality
309,Your constancy Hath left you unattended.,character_traits__nature,privation,assistance,,,,
310,"you [fate & affections] that are Angells Guiding to vertue, wherefore have you given So strong a hand to evil?",mystical,affection,religion,education,ethics,physical_attributes,anatomy
311,"though my thoughts be white as innocence, ",mental_faculty__state__entities,colors,judiciary,,,,
312,"I'll report it [thy day's work] Where senators shall mingle tears with smiles,",language,time,labor,politics,adhesion,anatomy,facial_expressions
313,"Why doost thou hide thy face? & with thy hand Darken those eies that were my Sunnes of joy, To make my pleasures florish in the Spring?",concealment,anatomy,darkness,nature,emotions,feelings,
314,Filial ingratitude! Is it not as this mouth should tear this hand For lifting food to't?,familial,recognition,anatomy,violence,food,,
315,love-sicke Lady,emotions,medicine,women,,,,
316,What a full fortune does the thicklips owe If he can carry't [?] thus!,mystical,anatomy,economics,,,,
317,"my hand will rather The multitudinous seas incarnadine, Making the green one red.",anatomy,spatial,nature,transformation,colors,,
318,"Thy bed a stews, your house a Brothel.",domestic,food,sexuality,,,,
319,"That no compunctious visitings of nature Shake my fell purpose, ",ethics,social_relations,nature,violence,mental_faculty__state__entities,,
320,he'll not feel wrongs Which tie him to an answer. ,sensations,ethics,incarceration,language,,,
321,such slaues once trust Whet swords to make your own blood lick the dust.,social_status,social_relations,weapons__armor,anatomy,food,nature,
322,"Now is the people's voice, the voice of God;",politics,sounds,religion,,,,
323,EgyptÂ andÂ LybiaÂ at choise I have. But only which of them I'll make my grave.,politics,mental_faculty__state__entities,death,,,,
324,"apt to take Fire at aduancement, [Â] In his Rise therefore shall my bounties shine:",character_traits__nature,fire,social_status,physical_activities,ethics,light,
325,"[city-wolves] eat up a lord at three bites.  -Three bonds, you mean.",urban,animals,food,social_status,quantities,economics,
326,"when he's sick to death, let not that part of nature [body], Which my lord paid for, be of any power To expel sickness, but prolong his hour!",medicine,death,resistance,anatomy,social_status,economics,preservation
327,Welcome my second life of Soueraintie.,greetings,life,politics,,,,
328,There's not a minute of our lives should stretch Without some pleasure now,time,life,privation,sexuality,,,
329,[Jove] let the pride Of these our Irreligious monarkisers Be crown'd in blood: ,religion,character_traits__nature,politics,anatomy,,,
330,"So our soft French Nobles Chained up in ease and numbed security, ",politics,incarceration,sensations,danger__safety,,,
331,"infects your name With such Plague-sores, that had you reason's eye, it would make you sick, to see you visit them",medicine,language,mental_faculty__state__entities,anatomy,sensations,social_relations,
332,"Those robes pontificall which thou prophanest, SaintÂ Peter'sÂ Chair wherein (like Antichrist) Thou doest advance your self thou man of sinne.",clothes,religion,social_status,,,,
333,to driue it [the sins] from his heart.,hunting__fishing,religion,anatomy,,,,
334,bathe my dying honour in the blood Shall make it live again.,cleaning,death,recognition,anatomy,life,,
335,you wish it with your heart,emotions,anatomy,,,,,
336,Thy tender-hefted nature shall not give Thee o'er to harshness,physical_activities,etiquette,character_traits__nature,,,,
337,"this Ruby sent from his own finger, Which as a Bawd inviteth me to shame.",economics,commands,anatomy,sexuality,etiquette,,
338,my brain Shall swell with strange invention. ,anatomy,size,mental_faculty__state__entities,,,,
339,"Looking on that base furniture of shame,",domestic,etiquette,,,,,
340,"the deepest secrets of my hart, My hart that has no lock shut against thee, Would let it out some-times vnwares of me.",spatial,concealment,anatomy,incarceration,mental_faculty__state__entities,,
341,"To honour thee [night], that hast accomplish'd all; Ile wear your colours at his funerall.",recognition,darkness,clothes,colors,death,,
342,Tooth that poisons if it bite;,anatomy,violence,,,,,
343,"his death fixed, and that never more Out of this place the Sun shall see him live.",death,spatial,nature,sensations,life,,
344,"arise, advance heart clogged with sin, Oppressed with damnation",sleep,movement,anatomy,hindrance,religion,politics,
345,"You had them [achieuements] layd, downe at your soueraignes feete.",military,spatial,politics,anatomy,,,
346,boast you cast the lucky die so well,language,luck,games__sports,,,,
347,"strike me the counterfeit matron; It is her habit only that is honest, Herself's a bawd",violence,deception,women,clothes,character_traits__nature,sexuality,
348,"as a discontented friend, grief shot With his unkindness",emotions,social_relations,violence,character_traits__nature,,,
349,"Upon such sacrifices,  The gods themselves throw incense. ",violence,religion,consumption,sensations,,,
350,"Age, as in gold, in lust is covetous.",LIFE'S CYCLE,economics,sexuality,,,,
351,"Your soules? why they be sould toÂ Lucifer,",religion,economics,,,,,
352,A woorthy man should imitate the weather That sings in tempests: and being cleere is silent.,ethics,art,nature,music,sounds,,
353,"That (rarifying the thin and yielding air) Flew sparkling up into the Sphere of fire, Whence endless flames it sheds in my desire:",alchemy,spatial,nature,astrology,fire,sexuality,
354,"the ancientÂ Brutus'Â virtue shines, that purchased first theÂ Roman liberty",ethics,light,economics,politics,social_relations,,
355,"as many coxcombs As you threw caps up will he tumble down, And pay you for your voices. ",clothes,quantities,theatre,violence,economics,sounds,
356,"Nor heaven peep through the blanket of the dark, To cry 'Hold, hold!'",religion,sensations,sleep,darkness,sounds,hindrance,
357,A sight that strikes man out of me.,appearance,violence,men,spatial,,,
358,"So, now my master calls, my ship, my venture all in one bottome put, all quite put off, Gone under sail,",social_status,language,nautical,economics,spatial,,
359,thy adulterate bed.,sexuality,domestic,,,,,
360,"Kill your physician, and the fee bestow Upon your foul disease",violence,medicine,economics,ethics,,,
361,"Thou art a slave, whom Fortune's tender arm With favour never clasp'd; but bred a dog.",social_status,mystical,anatomy,social_relations,affection,reproduction,animals
362,My heart denies it [respite].,anatomy,privation,time,,,,
363,"Thunder? And thou marrow-melting blast,  ",nature,anatomy,consumption,,,,
364,"that men of wit and state, Men that like Eagles climbe to be aboue, ",mental_faculty__state__entities,politics,animals,physical_activities,spatial,,
